연도,월,관람객수,단체관람객수,전시,문화,학술,교육,기타,공휴일수,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),일최다강수량(mm),month_sin,month_cos,총축제방문객수
1994.0,10.0,171999.0,77547,0.0,0.0,0.0,0.0,0.0,1.0,14.1,20.8,8.6,26.7,-0.3,220.0,82.5,-0.866025403784439,0.5,0.0
1994.0,11.0,87475.0,34976,0.0,0.0,0.0,0.0,0.0,0.0,8.1,14.6,2.5,20.8,-5.2,22.0,9.5,-0.5,0.866025403784438,0.0
1994.0,12.0,205017.0,15282,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.3,-4.0,17.2,-12.1,21.0,8.0,-2.44929359829471e-16,1.0,0.0
1995.0,1.0,57590.0,528,0.0,0.0,0.0,0.0,0.0,4.0,-2.6,2.9,-7.5,12.0,-16.0,19.0,11.3,0.5,0.866025403784439,0.0
1995.0,2.0,51928.0,7437,0.0,0.0,0.0,0.0,0.0,1.0,-0.4,6.6,-6.3,11.4,-11.9,8.2,4.5,0.866025403784439,0.5,0.0
1995.0,3.0,66376.0,14731,0.0,0.0,0.0,0.0,0.0,1.0,5.4,11.4,0.3,18.5,-5.5,25.3,9.0,1.0,6.12323399573677e-17,0.0
1995.0,4.0,190618.0,102800,0.0,0.0,0.0,0.0,0.0,1.0,10.4,18.1,3.8,28.8,-3.2,47.0,24.0,0.866025403784439,-0.5,0.0
1995.0,5.0,199800.0,110694,0.0,0.0,0.0,0.0,0.0,2.0,16.4,23.2,9.6,29.5,3.1,48.0,23.0,0.5,-0.866025403784439,0.0
1995.0,6.0,123357.0,53344,0.0,0.0,0.0,0.0,0.0,2.0,21.2,27.3,16.2,30.6,10.6,14.5,6.0,1.22464679914735e-16,-1.0,0.0
1995.0,7.0,77315.0,14032,0.0,0.0,0.0,0.0,0.0,1.0,25.0,29.8,21.0,33.6,15.4,239.9,64.0,-0.5,-0.866025403784439,0.0
1995.0,8.0,156455.0,11103,0.0,0.0,0.0,0.0,0.0,1.0,26.4,31.1,22.6,34.5,18.2,1082.5,273.5,-0.866025403784438,-0.5,14516.66666666667
1995.0,9.0,84407.0,37205,0.0,0.0,0.0,0.0,0.0,3.0,19.1,25.1,14.0,31.2,9.4,29.0,7.5,-1.0,-1.83697019872103e-16,0.0
1995.0,10.0,193424.0,95976,0.0,0.0,0.0,0.0,0.0,1.0,14.4,21.4,8.5,26.0,3.1,23.5,11.5,-0.866025403784439,0.5,0.0
1995.0,11.0,88667.0,41045,0.0,0.0,0.0,0.0,0.0,0.0,5.3,12.6,-0.2,20.7,-6.0,40.2,13.0,-0.5,0.866025403784438,0.0
1995.0,12.0,194261.0,27316,0.0,0.0,0.0,0.0,0.0,1.0,-1.8,3.7,-6.2,8.9,-11.8,8.9,2.9,-2.44929359829471e-16,1.0,0.0
1996.0,1.0,87684.0,19354,0.0,0.0,0.0,0.0,0.0,2.0,-2.4,3.0,-7.1,9.4,-12.8,29.5,21.0,0.5,0.866025403784439,0.0
1996.0,2.0,45330.0,12449,0.0,0.0,0.0,0.0,0.0,3.0,-2.3,3.5,-7.4,16.7,-14.2,10.2,4.3,0.866025403784439,0.5,0.0
1996.0,3.0,75039.0,23500,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.6,-1.1,15.0,-6.8,115.0,32.5,1.0,6.12323399573677e-17,0.0
1996.0,4.0,180328.0,102368,0.0,0.0,0.0,0.0,0.0,2.0,9.3,15.9,3.2,25.9,-3.1,54.5,19.5,0.866025403784439,-0.5,0.0
1996.0,5.0,229057.0,125087,0.0,0.0,0.0,0.0,0.0,2.0,17.1,24.4,10.6,30.2,6.1,19.0,14.0,0.5,-0.866025403784439,0.0
1996.0,6.0,128095.0,66121,0.0,0.0,0.0,0.0,0.0,1.0,21.9,26.9,18.0,33.0,13.0,237.0,94.0,1.22464679914735e-16,-1.0,0.0
1996.0,7.0,63252.0,10184,0.0,0.0,0.0,0.0,0.0,1.0,25.0,30.3,21.0,35.3,15.1,177.5,64.5,-0.5,-0.866025403784439,0.0
1996.0,8.0,104324.0,6123,0.0,0.0,0.0,0.0,0.0,1.0,25.6,31.0,21.8,36.2,16.9,116.5,48.5,-0.866025403784438,-0.5,14516.66666666667
1996.0,9.0,64959.0,22351,0.0,0.0,0.0,0.0,0.0,3.0,20.4,27.6,14.6,30.9,7.3,8.0,5.0,-1.0,-1.83697019872103e-16,0.0
1996.0,10.0,169306.0,80360,0.0,0.0,0.0,0.0,0.0,1.0,13.4,20.4,7.7,25.8,-2.8,102.5,35.5,-0.866025403784439,0.5,0.0
1996.0,11.0,81951.0,34536,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.2,1.3,18.2,-7.7,71.6,17.0,-0.5,0.866025403784438,3000.0
1996.0,12.0,183032.0,25891,0.0,0.0,0.0,0.0,0.0,1.0,0.3,6.8,-4.7,15.7,-12.0,26.2,17.5,-2.44929359829471e-16,1.0,0.0
1997.0,1.0,58119.0,2738,0.0,0.0,0.0,0.0,0.0,2.0,-3.5,2.4,-8.9,11.2,-15.3,10.7,7.7,0.5,0.866025403784439,0.0
1997.0,2.0,32568.0,3696,0.0,0.0,0.0,0.0,0.0,3.0,-0.8,6.4,-7.0,15.8,-11.6,44.1,22.0,0.866025403784439,0.5,0.0
1997.0,3.0,63391.0,14544,0.0,0.0,0.0,0.0,0.0,1.0,5.6,12.9,-0.2,21.1,-6.0,30.0,15.5,1.0,6.12323399573677e-17,0.0
1997.0,4.0,182834.0,110173,0.0,0.0,0.0,0.0,0.0,1.0,11.9,19.2,5.4,23.9,-1.2,66.5,39.0,0.866025403784439,-0.5,0.0
1997.0,5.0,184337.0,89592,0.0,0.0,0.0,0.0,0.0,2.0,17.4,23.7,12.1,29.1,4.1,211.0,79.5,0.5,-0.866025403784439,0.0
1997.0,6.0,107492.0,50757,0.0,0.0,0.0,0.0,0.0,1.0,22.6,29.3,17.1,34.0,10.4,191.5,136.5,1.22464679914735e-16,-1.0,0.0
1997.0,7.0,52510.0,9661,0.0,0.0,0.0,0.0,0.0,1.0,25.8,31.2,21.9,35.6,16.8,305.0,142.5,-0.5,-0.866025403784439,0.0
1997.0,8.0,110954.0,6592,0.0,0.0,0.0,0.0,0.0,1.0,26.3,32.4,21.9,36.0,18.1,175.5,136.0,-0.866025403784438,-0.5,14516.66666666667
